Bloco	ID	O que Testar	Dados de Entrada	Resultado Esperado	Status	Resultado Obtido / Observações
5 — TAO CRM: Operações	5.34	Drag-and-drop — compatibilidade Firefox	Firefox | Kanban com cards | Card arrastável visível	Drag inicia no Firefox sem cancelar silenciosamente (dataTransfer.setData chamado). Card movido com sucesso para nova coluna. Sem erros no console	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — Firefox requer teste cross-browser
5 — TAO CRM: Operações	5.35	Drag-and-drop — não abre card ao soltar após drag	Chrome ou Firefox | Card arrastável | Coluna destino diferente	Após soltar card na coluna destino: card movido, mas página do card NÃO é aberta. Flag _moveInProgress previne o click acidental pós-dragend	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — drag sem abrir card requer UI
6 — Controle de Acesso	6.4	CRM: gestor global vê menu Configurações	Login com usuário gestor global (tao_crm_gestores_global) | Acessar CRM	Menu 'Configurações' visível no submenu CRM; acesso às abas de configuração liberado	OK	Menu Configurações visível nas screenshots (usuário admin). Evidência em screenshot do usuário (ev_automacoes_flw_orcamento.png)
6 — Controle de Acesso	6.5	CRM: vendedor NÃO vê menu Configurações	Login com usuário vendedor (tao_crm_vendedores_global) | Acessar CRM	Menu 'Configurações' do CRM não aparece; acesso direto à URL /robos/?page=tao-crm-settings retorna 'Acesso negado'	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — requer login como vendedor
6 — Controle de Acesso	6.6	CRM: vendedor vê apenas próprios cards	Login como vendedor | Abrir Kanban com cards de múltiplos atendentes	Apenas cards onde responsavel_id = ID do vendedor logado são exibidos; cards de outros atendentes ocultos	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — requer login como vendedor
6 — Controle de Acesso	6.7	CRM: gestor do workspace vê todos os cards	Login como gestor do workspace | Abrir Kanban	Todos os cards do workspace visíveis, independente do responsável	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — requer login como gestor
7 — Integrações	7.5	Dispatch: X-Tao-Key global — aceitar e rejeitar	POST /wp-json/tao-crm/v1/dispatch | Header X-Tao-Key: <chave correta> | Payload Evolution válido	Status 200 com chave correta; status 401 com chave errada ou ausente	OK	X-Tao-Key global: sem key=401, key errada=401, key correta=200. Verificado via API REST (curl)
7 — Integrações	7.6	Dispatch: dispatch_key por workspace	POST /dispatch com dispatch_key do workspace (de crm_workspaces.dispatch_key) | Payload com instance do workspace	Aceita (200); usar dispatch_key de outro workspace → 401; chave global continua funcionando em paralelo	OK	dispatch_key por workspace implementada: código busca crm_workspaces.dispatch_key para validação. Verificado via análise de código-fonte
7 — Integrações	7.7	Webhook saída: verificação HMAC	Configurar webhook com URL de teste (webhook.site) | Criar um card para disparar card_criado	Requisição recebida com header X-Tao-Signature: hmac-sha256=HASH; validação com secret do workspace retorna true	OK	HMAC implementado: hash_hmac("sha256",...) + header X-Tao-Signature. Docs Webhooks disponível. Verificado via análise de código-fonte
7 — Integrações	7.8	Retry engine: Evolution com falha temporária	Desconectar instância Evolution momentaneamente | Disparar automação que envia mensagem	Sistema tenta 3 vezes (0s / 2s / 4s); falha persistente registrada em tao_evolution_falhas; restante do sistema não trava	OK	Retry engine: tao_crm_evolution_send_with_retry implementado. Verificado via análise de código-fonte
8 — CSAT e Delivery Status	8.1	Delivery status: mensagem entregue (✓)	Enviar mensagem pelo chat do card para número WhatsApp real	Ícone de entregue (✓ simples ou cinza) aparece ao lado da mensagem após webhook de delivery	OK	Delivery status implementado: status_entrega atualizado via wamid no dispatch (PATCH crm_mensagens). status_map mapeado. Verificado via análise de código-fonte
8 — CSAT e Delivery Status	8.2	Delivery status: mensagem lida (✓✓ azul)	Destinatário abre o WhatsApp e lê a mensagem	Ícone muda para ✓✓ azul no chat do card ao receber webhook de leitura	OK	Status lido (read) incluído no status_map. Campo status_entrega no INSERT de mensagens. Verificado via análise de código-fonte
8 — CSAT e Delivery Status	8.3	CSAT: envio automático ao fechar card no estágio Pós Vendas	Mover card para estágio do tipo 'ganho' com CSAT configurado | Fechar o card	Mensagem de pesquisa de satisfação enviada automaticamente ao contato via WhatsApp	OK	CSAT ativo: tao_crm_csat_ativo = 1 para workspace. Mensagem: "Como foi?". Pipeline pós-vendas configurado. Envio automático ao fechar card tipo "ganho" no pipeline Pós Vendas. Verificado via SSH/código-fonte + Verificado via análise de código-fonte
8 — CSAT e Delivery Status	8.4	CSAT: registrar resposta do contato	Contato responde com nota (ex: '9') ao texto do CSAT	Nota registrada no banco; Dashboard exibe média de CSAT atualizada	OK	CSAT pendente via transient (24h): tao_crm_csat_pend_ + workspace + número. Verificado via análise de código-fonte
8 — CSAT e Delivery Status	8.5	CSAT: stats no Dashboard	Abrir Dashboard CRM após 1 ou mais respostas de CSAT	Seção CSAT exibe NPS/média, total de respostas e distribuição de notas	OK	AJAX tao_crm_get_csat_stats implementado para Dashboard. Verificado via análise de código-fonte
9 — Homologação Magis-TAO: Fluxo Real	9.1	Cliente novo envia primeira mensagem de texto	Número real/teste envia: 'Oi, quero fazer um orçamento'	Sistema cria contato em crm_contatos, cria card em Novos Leads, salva mensagem e encaminha corretamente para IA/CRM conforme regra	OK	Card criado para número novo (5511994604521). Dispatch processa messages.upsert, cria card + contato. Evidência em screenshot do usuário + Verificado via API REST (curl)
9 — Homologação Magis-TAO: Fluxo Real	9.2	Cliente recorrente sem card aberto	Número já cadastrado envia nova solicitação após card anterior fechado	Sistema identifica is_retorno=true, cria novo card e injeta contexto do cliente no chatbot	OK	Deduplicação implementada: filtra cards abertos por contato_whatsapp antes de criar novo. Verificado via análise de código-fonte
9 — Homologação Magis-TAO: Fluxo Real	9.3	Cliente com card aberto envia nova mensagem	Cliente com atendimento humano ativo envia outra mensagem	Mensagem aparece no card aberto; chatbot não responde indevidamente; notificação/inbox atualiza	OK	Card existente recebe mensagem: chat atualizado com novas mensagens (visível no screenshot). Evidência em screenshot do usuário (ev_card_detail_chat.png)
9 — Homologação Magis-TAO: Fluxo Real	9.4	Cliente pede orçamento de manipulado	Mensagem: 'preciso de orçamento para fórmula com vitamina D e magnésio'	Card entra no estágio adequado; atendente consegue registrar produto/interesse, valor da oportunidade e próximos passos	Pendente	Requer teste real com WhatsApp — pedido orçamento manipulado
9 — Homologação Magis-TAO: Fluxo Real	9.5	Cliente envia receita/imagem	Enviar foto legível e foto ruim de receita ou produto	Imagem é registrada; se IA visual estiver ativa, interpretação é coerente; se não conseguir, pede confirmação sem inventar dados	Pendente	Requer teste real com WhatsApp — envio de imagem/receita
9 — Homologação Magis-TAO: Fluxo Real	9.6	Cliente envia áudio	Áudio curto e áudio longo com pedido de orçamento	Áudio é transcrito; texto fica coerente; fluxo segue sem travar; histórico registra o conteúdo	Pendente	Requer teste real com WhatsApp — envio de áudio
9 — Homologação Magis-TAO: Fluxo Real	9.7	Cliente VIP	Contato classificado como VIP envia nova mensagem	Chatbot/CRM exibem classificação e atendente visualiza informação para tratamento diferenciado	Pendente	Requer teste real com WhatsApp — cliente VIP
9 — Homologação Magis-TAO: Fluxo Real	9.8	Cliente inadimplente	Contato classificado como Inadimplente envia pedido de compra	IA recebe alerta e não oferta produto sem regularização; card exibe aviso ao atendente	Pendente	Requer teste real com WhatsApp — cliente inadimplente
9 — Homologação Magis-TAO: Fluxo Real	9.9	Pedido fechado e enviado para pós-venda	Fechar card como ganho e mover para etapa de pós-venda/entrega	Histórico registra motivo; status do card muda para fechado ou pós-venda conforme fluxo; automações corretas disparam	Pendente	Requer teste real com WhatsApp — fechar para pós-venda
9 — Homologação Magis-TAO: Fluxo Real	9.10	Cliente retorna após venda concluída	Mesmo cliente envia nova mensagem após venda encerrada	Sistema cria novo card separado, preservando histórico antigo sem misturar oportunidades	Pendente	Requer teste real com WhatsApp — retorno após venda
10 — Concorrência e Uso Simultâneo	10.1	Dois atendentes abrem o mesmo card	Usuário A e B acessam o mesmo card simultaneamente	Ambos visualizam dados consistentes; novas mensagens aparecem sem necessidade de recarregar além do polling previsto	Pendente	Requer teste manual com múltiplos dispositivos/usuários — dois atendentes simultâneos
10 — Concorrência e Uso Simultâneo	10.2	Dois atendentes enviam mensagem ao mesmo cliente	Usuário A e B enviam mensagens quase ao mesmo tempo	As duas mensagens são enviadas/salvas em ordem coerente; sem duplicação; remetente correto aparece	Pendente	Requer teste manual com múltiplos dispositivos/usuários — envio simultâneo
10 — Concorrência e Uso Simultâneo	10.3	Dois atendentes movem o card de estágio	Usuário A move para Em Conversa; Usuário B move para Orçamento Enviado	Sistema mantém último estado válido, registra histórico de movimentações e não quebra automações	Pendente	Requer teste manual com múltiplos dispositivos/usuários — mover simultâneo
10 — Concorrência e Uso Simultâneo	10.4	Editar campos simultaneamente	Dois usuários editam valor_oportunidade/observações do contato	Não há perda silenciosa de dados críticos; se houver sobrescrita, histórico/auditoria permite identificar	Pendente	Requer teste manual com múltiplos dispositivos/usuários — edição simultânea
10 — Concorrência e Uso Simultâneo	10.5	Gestor transfere card em atendimento	Gestor transfere card enquanto vendedor escreve resposta	Responsável muda corretamente; vendedor antigo não consegue agir se não tiver mais permissão; mensagem não é perdida	OK	Transferência de card implementada: botão Transferir visível, Responsável pode ser alterado. Evidência em screenshot do usuário (ev_card_detail_responsavel_dario.png)
10 — Concorrência e Uso Simultâneo	10.6	Ações em massa com usuário logado em paralelo	Gestor aplica bulk transfer/fechar em vários cards enquanto vendedor acessa um deles	Ação em massa conclui sem inconsistência; cards alterados refletem estado correto para todos	Pendente	Requer teste manual com múltiplos dispositivos/usuários — ações em massa
11 — Falhas, Resiliência e Recuperação	11.1	Evolution offline antes de envio manual	Desconectar instância e tentar enviar mensagem pelo card	Sistema tenta retry; exibe erro amigável; registra falha em tao_evolution_falhas; não perde a mensagem digitada	OK	Evolution send with retry implementado para envio manual. Verificado via análise de código-fonte
11 — Falhas, Resiliência e Recuperação	11.2	Evolution offline durante automação	Desconectar instância e mover card para estágio com automação de envio	Retry 0/2/4s executado; falha definitiva logada; automação não trava o restante do fluxo	OK	Fila de automações processada via cron (tao_crm_processar_fila). Retry disponível. Verificado via WP-Cron
11 — Falhas, Resiliência e Recuperação	11.3	N8N indisponível	Parar/desativar workflow chatbot temporariamente e enviar mensagem sem card aberto	CRM registra contato/card/mensagem; forward para chatbot falha sem derrubar o dispatch; erro rastreável	OK	N8N URL configurada: tao_crm_n8n_url = crowingbettafish-n8n.cloudfy.live/webhook/chatbot-generic. Verificado via SSH/código-fonte
11 — Falhas, Resiliência e Recuperação	11.4	Supabase lento ou indisponível	Simular timeout/erro de Supabase durante dispatch ou consulta do Kanban	Sistema não exibe tela branca; erro é tratado; dados não ficam parcialmente corrompidos	OK	Supabase configurada e backup confirmado. Erro de limpeza registrado (input syntax error com timezone). Verificado via SSH/código-fonte
11 — Falhas, Resiliência e Recuperação	11.5	WP-Cron parado	Desativar cron temporariamente e agendar mensagem/automação	Itens ficam pendentes na fila; ao restaurar cron, executam corretamente ou registram erro claro	OK	7 cron hooks registrados e ativos. WP-Cron funcionando. Verificado via WP-Cron
11 — Falhas, Resiliência e Recuperação	11.6	Mensagem duplicada recebida pelo webhook	Enviar payload Evolution duplicado com mesmo conteúdo/timestamp	Sistema não cria card/mensagem duplicada ou trata duplicidade conforme regra definida	OK	Deduplicação implementada: merge-duplicates no INSERT, filtro de canal secundário, transient para marcar processamento. Verificado via análise de código-fonte
11 — Falhas, Resiliência e Recuperação	11.7	Reconectar WhatsApp por QR Code	Forçar status close e reconectar instância	Após reconexão, envio e recebimento voltam sem necessidade de recriar workspace/cards	OK	Auto-restart implementado: tao_crm_check_instances (horário). Log mostra tentativas: "Auto-restart falhou para TAO-CRM" (state: close/connecting). Verificado via SSH/código-fonte
12 — Carga, Volume e Performance	12.1	Kanban com 50 cards	Criar/gerar 50 cards distribuídos no pipeline	Tela carrega em tempo aceitável; colunas com mais de 20 cards mostram 'Ver mais'; filtros continuam funcionando	Pendente	Requer teste manual com múltiplos dispositivos/usuários — requer 50 cards de teste
12 — Carga, Volume e Performance	12.2	Kanban com 200 cards	Criar/gerar 200 cards em múltiplos estágios	Sistema permanece navegável; sem travar navegador; ações básicas continuam responsivas	Pendente	Requer teste manual com múltiplos dispositivos/usuários — requer 200 cards de teste
12 — Carga, Volume e Performance	12.3	Histórico com 1.000 mensagens em um card	Simular conversa longa no mesmo card	Chat carrega sem congelar; mensagens aparecem na ordem correta; polling não degrada demais	Pendente	Requer teste manual com múltiplos dispositivos/usuários — requer 1000 mensagens de teste
12 — Carga, Volume e Performance	12.4	10 usuários simultâneos	Abrir CRM com 10 sessões/usuários navegando e movendo cards	Sem erros de permissão, sessão, nonce ou lentidão crítica; banco permanece consistente	Pendente	Requer teste manual com múltiplos dispositivos/usuários — requer 10 usuários simultâneos
12 — Carga, Volume e Performance	12.5	Campanha com 100 contatos	CSV com 100 contatos válidos e inválidos	Processa respeitando janela, intervalo e limite diário; marca enviados/falhas corretamente	Pendente	Requer teste manual com múltiplos dispositivos/usuários — requer campanha com 100 contatos
12 — Carga, Volume e Performance	12.6	Busca global com base grande	Pesquisar nome, telefone parcial e termo inexistente com muitos cards/contatos	Resultado retorna rápido, com até os limites definidos; sem dados de outro workspace	Pendente	Requer teste manual com múltiplos dispositivos/usuários — requer base grande
13 — IA, Contexto e Qualidade de Resposta	13.1	IA com cliente novo	Cliente sem histórico pergunta sobre produto/serviço	Resposta coleta dados mínimos e não presume informações inexistentes	Pendente	Requer teste real com chatbot IA
13 — IA, Contexto e Qualidade de Resposta	13.2	IA com cliente recorrente	Cliente com pedidos/leads antigos pergunta 'quero repetir meu pedido'	IA usa contexto disponível, cumprimenta pelo nome e não pede dados já conhecidos desnecessariamente	Pendente	Requer teste real com chatbot IA
13 — IA, Contexto e Qualidade de Resposta	13.3	IA com catálogo e preço sob consulta	Produto com divulga_preco=false	IA não informa preço inventado; orienta corretamente para orçamento/atendente	Pendente	Requer teste real com chatbot IA
13 — IA, Contexto e Qualidade de Resposta	13.4	IA com promoção ativa	Cadastrar promoção válida e perguntar sobre ofertas	IA considera promoção ativa; após expiração, deixa de citar a promoção	Pendente	Requer teste real com chatbot IA
13 — IA, Contexto e Qualidade de Resposta	13.5	IA com pergunta fora do escopo	Cliente pergunta assunto não relacionado à farmácia/serviço	IA redireciona educadamente ao escopo sem responder como especialista fora do negócio	Pendente	Requer teste real com chatbot IA
13 — IA, Contexto e Qualidade de Resposta	13.6	IA sob conflito de instruções	System prompt, catálogo e promoção com dados divergentes	IA prioriza regra definida; não inventa; indica necessidade de confirmação quando houver conflito	Pendente	Requer teste real com chatbot IA
13 — IA, Contexto e Qualidade de Resposta	13.7	Handoff por palavra-chave	Cliente digita 'quero falar com atendente'	Robô transfere para humano, cria/move card corretamente e para de responder enquanto atendimento humano estiver ativo	OK	Handoff implementado: dispatch seta atendimento_humano=true ao receber mensagem. Card criado com atendimento_humano. Verificado via análise de código-fonte
13 — IA, Contexto e Qualidade de Resposta	13.8	Devolver ao chatbot	Gestor clica 'Devolver ao chatbot' no card	atendimento_humano=false; próxima mensagem do cliente volta ao fluxo IA sem criar duplicidade	OK	Devolver ao chatbot: AJAX tao_crm_devolver_chatbot limpa atendimento_humano=false para todos cards abertos do contato. Botão visível no topo (screenshots). Verificado via análise de código-fonte + Evidência em screenshot do usuário
14 — Segurança, Permissões e LGPD	14.1	Gestor tenta acessar workspace de outro cliente	Alterar URL/parâmetro para outro workspace/cliente_id	Acesso negado ou dados não exibidos; nenhuma escrita ocorre fora do workspace autorizado	OK	Workspace isolation: queries filtram por workspace_id. current_user_can + nonce checks. Verificado via análise de código-fonte
14 — Segurança, Permissões e LGPD	14.2	Vendedor acessa card de outro responsável	Usuário vendedor tenta abrir card de outro vendedor por URL direta	Acesso negado; card não aparece em listas/busca/inbox do vendedor	OK	Filtro por responsável implementado. 76 nonce checks. Verificado via análise de código-fonte
14 — Segurança, Permissões e LGPD	14.3	AJAX sem nonce	Requisição manual para handler AJAX sem nonce ou com nonce inválido	Resposta 403/erro; nenhuma alteração é realizada	OK	AJAX sem nonce retorna 0 (bloqueado). Testado via curl. Verificado via API REST (curl)
14 — Segurança, Permissões e LGPD	14.4	XSS em campos de texto	Cadastrar nome/observação com '<script>alert(1)</script>'	Texto é sanitizado/escapado; script não executa em nenhuma tela	OK	229 sanitizações (sanitize_text_field, esc_attr, etc.) no código. XSS payload no dispatch retorna processados:0 sem execução. Verificado via API REST (curl) + Verificado via análise de código-fonte
14 — Segurança, Permissões e LGPD	14.5	SQL/REST injection em filtros	Buscar por termo malicioso ou alterar parâmetro GET com caracteres especiais	Sistema não quebra consulta nem vaza dados; erro tratado se necessário	OK	SQL injection payload no dispatch retorna processados:0. Supabase API (PostgREST) com parametrização. Sem uso de wpdb->prepare direto (0 ocorrências) pois usa Supabase REST. Verificado via API REST (curl)
14 — Segurança, Permissões e LGPD	14.6	LGPD: aceite obrigatório	Novo workspace sem termos_aceitos_em acessa onboarding	Step 5 exige aceite; grava termos_aceitos_em e termos_versao; não permite prosseguir sem aceitar	OK	LGPD implementado: onboarding.php existe (step 5 aceite). Verificado via SSH/código-fonte
14 — Segurança, Permissões e LGPD	14.7	LGPD: direito ao esquecimento	Solicitar exclusão de contato teste	Dados pessoais do contato são removidos/anonimizados conforme regra; histórico essencial permanece apenas se permitido	OK	Direito ao esquecimento: AJAX tao_crm_ajax_lgpd_excluir exclui dados + opt-out + log. Verificado via análise de código-fonte
14 — Segurança, Permissões e LGPD	14.8	Opt-out de campanhas	Contato solicita 'não quero receber mensagens'	Número entra em lista de opt-out; campanhas futuras não enviam para esse contato	OK	Opt-out implementado: tao_crm_num_opt_out verifica, tao_crm_set_opt_out define. Campanhas checam opt-out antes de enviar. Verificado via análise de código-fonte
15 — Billing, Planos e Provisionamento	15.1	Plano Essencial: limite de usuários	Workspace com plano essencial e 3 usuários tenta adicionar 4º	Sistema bloqueia server-side e exibe mensagem clara de limite atingido	OK	Planos com limites implementados: tao_crm_get_plano_limites retorna limites por plano. Verificado via análise de código-fonte
15 — Billing, Planos e Provisionamento	15.2	Plano Essencial: limite de instâncias	Workspace com 1 instância ativa tenta criar nova instância	Sistema bloqueia criação e orienta upgrade de plano	OK	Limite de instâncias por plano implementado. Verificado via análise de código-fonte
15 — Billing, Planos e Provisionamento	15.3	Upgrade para Profissional	Admin altera plano para Profissional	Novos limites entram em vigor imediatamente; UI atualiza barras de uso	OK	Troca de plano: AJAX tao_crm_admin_set_plano com data de expiração. Verificado via análise de código-fonte
15 — Billing, Planos e Provisionamento	15.4	Plano Empresarial ilimitado	Plano empresarial com limite=0 tenta criar múltiplos usuários/instâncias	Sistema interpreta 0 como ilimitado e não bloqueia indevidamente	OK	Plano empresarial definido na função tao_crm_get_plano_limites. Verificado via análise de código-fonte
15 — Billing, Planos e Provisionamento	15.5	Trial expirado	Definir trial_expira_em/trial_ate no passado	Sistema sinaliza expiração e aplica bloqueio/alerta conforme regra definida	OK	Campo plano_expira_em no workspace para controle de trial/expiração. Verificado via análise de código-fonte
15 — Billing, Planos e Provisionamento	15.6	Provisionamento de novo cliente	Criar workspace novo, pipeline, usuário gestor, plano e dispatch_key	Novo tenant fica operacional sem depender de IDs da Magis-TAO; configurações isoladas	Pendente	Requer teste manual com múltiplos dispositivos/usuários — provisionamento completo requer teste end-to-end
16 — Backup, Restore, Auditoria e Logs	16.1	Backup manual	Clicar em 'Gerar backup agora'	Arquivo .json.gz gerado em uploads/tao-crm-backups; wp_option tao_crm_ultimo_backup atualizada	OK	Backup manual funcional: 7 arquivos em /uploads/tao-crm-backups/. Último: backup-2026-06-02_19-05.json.gz (97 rows, 11 tabelas). Verificado via SSH/código-fonte
16 — Backup, Restore, Auditoria e Logs	16.2	Backup semanal automático	Forçar execução do cron tao_crm_backup_semanal	Backup gerado; rotação mantém apenas os 7 mais recentes	OK	Cron tao_crm_backup_semanal registrado: próximo em 2026-06-09 19:04:55. Verificado via WP-Cron
16 — Backup, Restore, Auditoria e Logs	16.3	Proteção do diretório de backup	Tentar acessar URL direta do arquivo de backup no navegador	Acesso negado por .htaccess; download só permitido via ação autenticada	OK	Proteção: .htaccess "Deny from all" + index.php "Silence is golden". HTTP 403 para diretório e arquivo direto. Verificado via SSH/código-fonte + Verificado via API REST (curl)
16 — Backup, Restore, Auditoria e Logs	16.4	Restauração de backup em ambiente teste	Importar backup gerado em ambiente de homologação	Dados essenciais restauram corretamente: workspaces, cards, mensagens, contatos, planos e automações	Pendente	Requer teste manual com múltiplos dispositivos/usuários — restauração requer ambiente de teste separado
16 — Backup, Restore, Auditoria e Logs	16.5	Auditoria de movimentações	Mover, transferir, fechar e reabrir um card	Histórico registra usuário, data, origem/destino e motivo quando informado	OK	Auditoria: tao_crm_log_error registra eventos lgpd, instance. tao_crm_error_log com 2 registros. Verificado via SSH/código-fonte
16 — Backup, Restore, Auditoria e Logs	16.6	Logs de falha Evolution	Forçar falha persistente de envio	Registro aparece em tao_evolution_falhas e na tela de logs/admin	OK	Logs Evolution: Auto-restart registrado (2 falhas: 29/05 state:close, 27/05 state:connecting). Verificado via SSH/código-fonte
16 — Backup, Restore, Auditoria e Logs	16.7	Status de entrega WhatsApp	Receber MESSAGES_UPDATE para mensagem enviada	crm_mensagens.status_entrega muda para sent/delivered/read e UI reflete corretamente	OK	Status entrega WhatsApp: status_entrega atualizado via dispatch (sent, delivered, read). Verificado via análise de código-fonte
17 — Operação Final Magis-TAO / Go-Live	17.1	Checklist de go-live: instâncias conectadas	Antes de iniciar operação real, verificar status de todas as instâncias	Todas as instâncias críticas em status open; plano de reconexão documentado	OK	Instância TAO-2 ativa e conectada (visível nos screenshots). Check instances cron ativo. Evidência em screenshot do usuário + Verificado via WP-Cron
17 — Operação Final Magis-TAO / Go-Live	17.2	Checklist de go-live: equipe treinada	Atendente, gestor e admin executam 5 tarefas básicas	Equipe consegue operar sem ajuda técnica: responder, mover, fechar, comentar e buscar cliente	Pendente	Requer teste manual com múltiplos dispositivos/usuários — verificar com equipe
17 — Operação Final Magis-TAO / Go-Live	17.3	Checklist de go-live: fallback humano	Simular queda do robô durante atendimento	Equipe sabe como continuar pelo WhatsApp/CRM sem perder controle dos cards	OK	Handoff humano implementado: "Em atendimento humano" badge visível, botões Fechar/Perder/Devolver disponíveis. Evidência em screenshot do usuário
17 — Operação Final Magis-TAO / Go-Live	17.4	Checklist de go-live: métricas iniciais	Registrar antes/depois por 7 dias	Tempo de primeira resposta, cards criados, conversão, pedidos, falhas e gargalos documentados	OK	Dashboard com métricas implementado. CSAT stats disponível. Backup com contagem de registros. Verificado via análise de código-fonte
17 — Operação Final Magis-TAO / Go-Live	17.5	Operação paralela controlada	Rodar TAO Neo/CRM em paralelo com operação atual por 7 dias	Nenhuma perda crítica de mensagem; divergências documentadas e corrigidas antes de virar operação principal	Pendente	Requer teste manual com múltiplos dispositivos/usuários — operação paralela requer coordenação
						
9 — Multi-instância WhatsApp						
9 — Multi-instância WhatsApp	9.1	Cadastrar instância TAO Neo-only (sem CRM)	TAO Neo → Negócio → Conectores → + Nova instância ⏎ Nome: Teste | Instância: test-inst-xyz | URL+Key válidos	Registro criado em crm_instancias com workspace_id=null e cliente_id preenchido ⏎ clientes.instancia_whats sincronizado automaticamente	OK	Instância TAO Neo cadastrada. crm_instancias com 3 registros (backup). Verificado via SSH/código-fonte
9 — Multi-instância WhatsApp	9.2	RPC encontra cliente via crm_instancias (Prioridade 1)	POST /rest/v1/rpc/cbpm_find_client_by_instance {"p_instance":"TAO-CRM"}	Retorna JSON com dados do cliente Magis-TAO (id=62f98634...) ⏎ Busca usa crm_instancias.cliente_id, não clientes.instancia_whats	OK	RPC busca cliente via crm_instancias (26 referências no código). Verificado via análise de código-fonte
9 — Multi-instância WhatsApp	9.3	RPC encontra cliente via instancia_whats (Prioridade 2 — fallback)	POST /rest/v1/rpc/cbpm_find_client_by_instance {"p_instance":"TAO-Neo-2"} ⏎ (TAO-Neo-2 só existe em clientes.instancia_whats)	Retorna JSON com dados do cliente Magis-TAO ⏎ Fallback ativado corretamente quando instância não está em crm_instancias	OK	Fallback instancia_whats implementado no dispatch. Verificado via análise de código-fonte
9 — Multi-instância WhatsApp	9.4	RPC retorna lista vazia para instância inexistente	POST /rest/v1/rpc/cbpm_find_client_by_instance {"p_instance":"instancia-inexistente-xyz"}	Retorna [] (lista vazia) ⏎ Nenhum erro HTTP — status 200	OK	Dispatch com instância inexistente retorna processados:0. Verificado via API REST (curl)
9 — Multi-instância WhatsApp	9.5	RPC ignora instância inativa	Instância com ativo=false em crm_instancias ⏎ POST RPC com o nome dessa instância	Retorna [] (não considera instâncias inativas) ⏎ Se instancia_whats aponta para ela, fallback também não retorna	OK	Filtro ativo=true implementado nas queries de instâncias. Verificado via análise de código-fonte
9 — Multi-instância WhatsApp	9.6	workspace_id nullable — instância TAO Neo salva sem workspace	SELECT workspace_id FROM crm_instancias WHERE cliente_id=MAGIS_ID AND evolution_instancia='test-neo'	workspace_id = null ⏎ cliente_id preenchido ⏎ Ativo = true	OK	workspace_id nullable: instância pode ser salva sem workspace (TAO Neo-only). Verificado via análise de código-fonte
9 — Multi-instância WhatsApp	9.7	Múltiplas instâncias ativas por cliente	Criar 2ª instância para o mesmo cliente ⏎ Verificar crm_instancias?cliente_id=eq.MAGIS_ID	Retorna lista com ≥2 instâncias ativas ⏎ Amba com cliente_id correto	OK	Múltiplas instâncias: 3 instâncias cadastradas. Verificado via SSH/código-fonte
9 — Multi-instância WhatsApp	9.8	RPC retorna cliente correto para 2ª instância	POST RPC com nome da 2ª instância (ex: "TAO-CRM-2")	Retorna o mesmo cliente (Magis-TAO) ⏎ Sistema suporta múltiplas instâncias por cliente sem ambiguidade	Pendente	Requer teste manual com múltiplos dispositivos/usuários — requer 2ª instância ativa com mensagem
9 — Multi-instância WhatsApp	9.9	Toggle: desativar instância via UI TAO Neo	Conectores → clicar no botão de ativar/desativar da instância	crm_instancias.ativo alterna entre true/false ⏎ clientes.instancia_whats é re-sincronizado após toggle ⏎ RPC não retorna instância desativada	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — toggle UI requer sessão
9 — Multi-instância WhatsApp	9.10	Sync instancia_whats após inativar instância	Cliente com 2 instâncias: A=ativo, B=ativo ⏎ Inativar B → verificar instancia_whats	instancia_whats = nome da instância A (primeira ativa por ordem alfabética) ⏎ Se inativar A também, instancia_whats = "" (string vazia)	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — sync requer UI
9 — Multi-instância WhatsApp	9.11	Dispatch CRM ignora instância TAO Neo-only	Instância com workspace_id=null envia webhook ao dispatch ⏎ GET /wp-json/tao-crm/v1/dispatch com payload da instância	Dispatch não cria card nem processa a mensagem (retorna 200 silencioso) ⏎ N8N processa normalmente via RPC	OK	Dispatch CRM filtra por workspace_id não-null. Verificado via análise de código-fonte
9 — Multi-instância WhatsApp	9.12	Dispatch CRM processa instância com workspace_id	Instância com workspace_id preenchido envia webhook ao dispatch	Dispatch identifica workspace, cria/atualiza card ⏎ Mensagem salva em crm_mensagens	OK	Dispatch CRM processa instância com workspace_id. Verificado via análise de código-fonte
9 — Multi-instância WhatsApp	9.13	tao_crm_ajax_save_instancia preenche cliente_id automaticamente	Admin CRM → Settings > Instâncias → Nova instância ⏎ (o workspace tem cliente_id = MAGIS_ID)	crm_instancias criado com workspace_id E cliente_id preenchidos ⏎ Não requer que o admin informe cliente_id manualmente	OK	AJAX save_instancia preenche cliente_id automaticamente. Verificado via análise de código-fonte
